stationcode,name,is_installed,capacity,numdocksavailable,numbikesavailable,mechanical,ebike,is_renting,is_returning,duedate,coordonnees_geo,nom_arrondissement_communes,code_insee_commune,station_opening_hours
9008,Tour d'Auvergne - Rodier,OUI,17,10,7,1,6,OUI,OUI,2026-02-07T22:03:35+00:00,"{'lon': 2.343698, 'lat': 48.879161}",Paris,75056,
10029,Dunkerque - Rocroy,OUI,24,19,3,0,3,OUI,OUI,2026-02-07T22:00:32+00:00,"{'lon': 2.351464, 'lat': 48.880726}",Paris,75056,
14013,Liard - Amiral Mouchez,OUI,28,18,10,7,3,OUI,OUI,2026-02-07T22:04:10+00:00,"{'lon': 2.342167, 'lat': 48.8214169}",Paris,75056,
10161,Gare de l'Est - Faubourg-Saint-Martin,OUI,32,20,10,6,4,OUI,OUI,2026-02-07T22:04:32+00:00,"{'lon': 2.3594588041306, 'lat': 48.875642647477}",Paris,75056,
13118,Regnault - Patay,OUI,63,5,58,52,6,OUI,OUI,2026-02-07T22:04:37+00:00,"{'lon': 2.377065159380436, 'lat': 48.82435782216384}",Paris,75056,
41303,Gare de Nogent-le-Perreux,OUI,32,16,15,5,10,OUI,OUI,2026-02-07T22:02:53+00:00,"{'lon': 2.493693307042122, 'lat': 48.83842553348809}",Nogent-sur-Marne,94052,
15112,Vigée-Lebrun - Anselme Payen,OUI,24,19,5,1,4,OUI,OUI,2026-02-07T21:57:47+00:00,"{'lon': 2.3110422492027287, 'lat': 48.838683941628375}",Paris,75056,
12031,Gabriel Lamé,OUI,36,2,34,32,2,OUI,OUI,2026-02-07T22:04:30+00:00,"{'lon': 2.385534569621086, 'lat': 48.8351212784276}",Paris,75056,
13030,Italie - Tolbiac,OUI,21,6,14,7,7,OUI,OUI,2026-02-07T22:04:35+00:00,"{'lon': 2.3576171323657036, 'lat': 48.82557229464416}",Paris,75056,
5022,Boulangers - Cardinal Lemoine,OUI,20,14,6,3,3,OUI,OUI,2026-02-07T22:03:32+00:00,"{'lon': 2.3521495, 'lat': 48.8462904}",Paris,75056,
48003,Youri Gagarine - Karl Marx,OUI,22,20,3,2,1,OUI,OUI,2026-02-07T21:59:50+00:00,"{'lon': 2.35908430069685, 'lat': 48.78448485079149}",Villejuif,94076,
21328,Verger - Colonel Guichard,OUI,29,28,1,0,1,OUI,OUI,2026-02-07T22:02:12+00:00,"{'lon': 2.2670380088932, 'lat': 48.816376985087}",Issy-les-Moulineaux,92040,
9001,Bellefond - Poissonnière,OUI,17,12,5,3,2,OUI,OUI,2026-02-07T21:58:34+00:00,"{'lon': 2.348463758826256, 'lat': 48.87759897050706}",Paris,75056,
9038,Douai - Bruxelles,OUI,27,16,10,1,9,OUI,OUI,2026-02-07T22:00:21+00:00,"{'lon': 2.3308449949028507, 'lat': 48.88320784122797}",Paris,75056,
10115,Granges aux Belles,OUI,27,17,9,4,5,OUI,OUI,2026-02-07T22:04:16+00:00,"{'lon': 2.3680844979417, 'lat': 48.8761373390584}",Paris,75056,
31103,Gare Rosny-Bois-Perrier,OUI,35,24,7,1,6,OUI,OUI,2026-02-07T22:00:55+00:00,"{'lon': 2.480436824262142, 'lat': 48.88115023337061}",Rosny-sous-Bois,93064,
1001,Quai de l'Horloge - Pont Neuf,OUI,17,1,14,12,2,OUI,OUI,2026-02-07T22:04:32+00:00,"{'lon': 2.3417982839439, 'lat': 48.857058739111}",Paris,75056,
7018,Ségur - d'Estrées,OUI,19,10,9,5,4,OUI,OUI,2026-02-07T22:02:47+00:00,"{'lon': 2.3097044974566, 'lat': 48.851419978983}",Paris,75056,
13104,Gare d'Austerlitz - Quai Saint-Bernard,OUI,27,1,25,23,2,OUI,OUI,2026-02-07T22:01:54+00:00,"{'lon': 2.3657163977623, 'lat': 48.84369030864}",Paris,75056,
5005,Gay Lussac - Saint-Jacques,OUI,42,39,3,2,1,OUI,OUI,2026-02-07T21:57:00+00:00,"{'lon': 2.3419239448664, 'lat': 48.844730256132}",Paris,75056,
8009,Gare Saint-Lazare - Isly,OUI,27,13,13,11,2,OUI,OUI,2026-02-07T22:04:44+00:00,"{'lon': 2.326515804784655, 'lat': 48.874777677621296}",Paris,75056,
9106,Boudreau - Auber,OUI,28,16,10,7,3,OUI,OUI,2026-02-07T22:00:36+00:00,"{'lon': 2.329423, 'lat': 48.87219}",Paris,75056,
17008,Porte Pouchet-Bessières,OUI,23,15,8,6,2,OUI,OUI,2026-02-07T22:02:48+00:00,"{'lon': 2.3230632, 'lat': 48.8978765}",Paris,75056,
19105,Ambroise Rendu - Porte Brunet,OUI,17,14,2,1,1,OUI,OUI,2026-02-07T22:00:28+00:00,"{'lon': 2.395733, 'lat': 48.883667}",Paris,75056,
19207,Jean Jaurès - Bouret,OUI,32,29,2,0,2,OUI,OUI,2026-02-07T22:04:25+00:00,"{'lon': 2.3712364995651, 'lat': 48.883144703938}",Paris,75056,
31706,Château - République,OUI,26,14,6,4,2,OUI,OUI,2026-02-07T22:00:08+00:00,"{'lon': 2.4155035614967, 'lat': 48.862923800596}",Bagnolet,93006,
8053,Place Georges Guillaumin,OUI,29,25,4,2,2,OUI,OUI,2026-02-07T22:00:16+00:00,"{'lon': 2.301771435326, 'lat': 48.874750203957}",Paris,75056,
22409,Henri Barbusse - Stalingrad,OUI,16,11,4,1,3,OUI,OUI,2026-02-07T22:01:37+00:00,"{'lon': 2.2872862592339516, 'lat': 48.814183748660554}",Malakoff,92046,
9014,Faubourg Montmartre - La Fayette,OUI,35,17,18,8,10,OUI,OUI,2026-02-07T22:04:44+00:00,"{'lon': 2.3408536612988, 'lat': 48.875254549053}",Paris,75056,
19015,Thionville - Ourcq,OUI,24,11,12,2,10,OUI,OUI,2026-02-07T22:01:31+00:00,"{'lon': 2.3833653330802917, 'lat': 48.88917613743794}",Paris,75056,
51006,Lieutenant Colonel Prudhon - Repos,OUI,26,26,0,0,0,NON,NON,2025-10-27T09:36:39+00:00,"{'lon': 2.2380727982588, 'lat': 48.946800700149}",Argenteuil,95018,
9022,Rossini - Laffitte,OUI,33,27,5,3,2,OUI,OUI,2026-02-07T21:52:19+00:00,"{'lon': 2.337980867701675, 'lat': 48.87334627510507}",Paris,75056,
17004,Legendre - Clichy,OUI,40,32,8,3,5,OUI,OUI,2026-02-07T22:01:05+00:00,"{'lon': 2.322528975094376, 'lat': 48.88896161855884}",Paris,75056,
92007,Pesaro - Préfecture,OUI,22,8,13,0,13,OUI,OUI,2026-02-07T22:04:01+00:00,"{'lon': 2.223908342421055, 'lat': 48.89577046284005}",Nanterre,92050,
19003,Quai de la Seine,OUI,24,11,12,2,10,OUI,OUI,2026-02-07T22:04:00+00:00,"{'lon': 2.3703941702842717, 'lat': 48.884492238407525}",Paris,75056,
9028,Moncey - Blanche,OUI,17,4,13,2,11,OUI,OUI,2026-02-07T21:56:25+00:00,"{'lon': 2.3310810327529907, 'lat': 48.88006587474148}",Paris,75056,
26003,Argenteuil - Voltaire,OUI,16,1,15,10,5,OUI,OUI,2026-02-07T22:01:23+00:00,"{'lon': 2.281411215663, 'lat': 48.918648659556}",Asnières-sur-Seine,92004,
